"ONT_Barcode"	"HW_Address"	"Payload1"	"Payload2"	"Payload3"	"Payload4"	"Payload5"	"Payload6"	"Payload7"	"Payload8"
"36"	"barcode_external06_internal07"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,3,7]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"
"36"	"barcode_external07_internal07"	"[0,0,3,5]"	"[0,0,2,6]"	"[0,0,1,5]"	"[0,0,1,2]"	"[0,0,0,4]"	"[0,0,0,1]"	"[0,0,0,4]"	"[0,0,2,5]"
"36"	"barcode_external08_internal07"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"
"36"	"barcode_external01_internal08"	"[0,0,0,6]"	"[0,0,2,6]"	"[0,0,1,8]"	"[0,0,0,0]"	"[0,0,0,7]"	"[0,0,0,8]"	"[0,0,6,8]"	"[0,0,0,1]"
"36"	"barcode_external02_internal08"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"
"36"	"barcode_external03_internal08"	"[0,0,0,5]"	"[0,0,0,5]"	"[0,0,0,5]"	"[0,0,0,1]"	"[0,0,0,0]"	"[0,0,0,2]"	"[0,0,0,0]"	"[0,0,0,1]"
"36"	"barcode_external04_internal08"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"
"36"	"barcode_external05_internal08"	"[0,0,0,2]"	"[0,0,0,2]"	"[0,0,0,1]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,1]"	"[0,0,0,0]"	"[0,0,0,4]"
"36"	"barcode_external06_internal08"	"[0,0,2,4]"	"[0,0,0,5]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"
"36"	"barcode_external07_internal08"	"[0,0,0,5]"	"[0,0,0,6]"	"[0,0,0,3]"	"[0,0,0,4]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,6]"
"36"	"barcode_external08_internal08"	"[0,0,2,4]"	"[0,0,0,4]"	"[0,0,0,7]"	"[0,0,4,6]"	"[0,0,0,3]"	"[0,0,0,0]"	"[0,0,6,8]"	"[0,0,0,0]"
"40"	"barcode_external01_internal01"	"[0,0,4,5]"	"[0,0,0,0]"	"[0,0,0,1]"	"[0,0,1,6]"	"[0,0,0,5]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"
"40"	"barcode_external02_internal01"	"[0,0,0,6]"	"[0,0,0,5]"	"[0,0,0,0]"	"[0,0,1,2]"	"[0,0,1,3]"	"[0,0,0,0]"	"[0,0,0,2]"	"[0,0,0,0]"
"40"	"barcode_external03_internal01"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,1]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"
"40"	"barcode_external04_internal01"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"
"40"	"barcode_external05_internal01"	"[0,0,0,0]"	"[0,0,0,7]"	"[0,0,0,2]"	"[0,0,0,2]"	"[0,0,0,8]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,3]"
